"Y100NaCl_260,00nm_25,0-85,0C",,"Y100NaCl_260,00nm_85,0-25,0C",,"Y150NaCl_260,00nm_25,0-85,0C",,"Y150NaCl_260,00nm_85,0-25,0C",,"Y200NaCl_260,00nm_25,0-85,0C",,"Y200NaCl_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
25,0.70631489017182447,85,0.86415809585824988,25,0.73137268833058355,85,0.887126828972738,25,0.77380090192709883,85,0.93315428905042874
26,0.70657944625582847,84,0.86390473169653081,26,0.73195333306298449,84,0.88709839118490474,26,0.77439368367606554,84,0.93269367393332236
27,0.70668962258480372,83,0.863850138929731,27,0.73217929587128938,83,0.88696330863743111,27,0.77436597078603953,83,0.93315448040043814
28,0.70680339419802429,82,0.863957430446577,28,0.73239137312047564,82,0.88684379642284739,28,0.77454504149378978,82,0.93333450007020946
29,0.70701927389302843,81,0.86389183514639267,29,0.732656062079454,81,0.88713845557845672,29,0.7750678927711584,81,0.93307278925101989
30,0.70739037778407343,80,0.86370454426391363,30,0.73284678331097364,80,0.88733130378878255,30,0.775959939611603,80,0.93282680356619507
31,0.70789573098103842,79,0.86350266721444979,31,0.73310622696908856,79,0.8873238055209357,31,0.77691357703729336,79,0.93274931438358
32,0.708516940370101,78,0.86341530367386954,32,0.73340937075929147,78,0.88722977182573037,32,0.77757572403961273,78,0.93272726168974585
33,0.70916582681612361,77,0.86334464753995921,33,0.73362890565687811,77,0.88719782446648121,33,0.77812985572890547,77,0.93269687096388532
34,0.7096380069142737,76,0.86327118613524589,34,0.73377234243794676,76,0.88719335659224141,34,0.77860275328431827,76,0.9326192218832865
35,0.70990072684972094,75,0.86322023859601293,35,0.73384791758409107,75,0.88709899160887928,35,0.77885744664233469,75,0.93251590802648687
36,0.7100685442204534,74,0.8631683371549459,36,0.73393299287484759,74,0.88699076587216885,36,0.77900087614853974,74,0.93235238213148974
37,0.71022624641594823,73,0.8631362727934363,37,0.73408848270637006,73,0.88691826693383713,37,0.77912794514330885,73,0.93210154654049626
38,0.71037344746336017,72,0.863114381452229,38,0.734380220476401,72,0.88684514473780185,38,0.77917152939368894,72,0.93176676346427356
39,0.71047418910170668,71,0.863066067721983,39,0.73476541171795073,71,0.88670036987508483,39,0.77925709940661814,71,0.93138056194368
40,0.71057615769701532,70,0.86295857691146416,40,0.73518390080938711,70,0.88645729389556061,40,0.77945753829417841,70,0.93101381921576232
41,0.71071845701237513,69,0.86273641915388721,41,0.73565168847771689,69,0.88610806102440143,41,0.77973401416386889,69,0.93064556993324532
42,0.71090008419113027,68,0.8623244792415069,42,0.73614933507603986,68,0.88571452351420288,42,0.78016416040606229,68,0.93022180854742276
43,0.71123838861682587,67,0.86183105703222862,43,0.736703063030104,67,0.88531778279180917,43,0.78067131848959226,67,0.9296803381924692
44,0.71179716183000452,66,0.86137363919637144,44,0.73734140025638506,66,0.88475278712493566,44,0.78128228698757329,66,0.9289479604711961
45,0.71242051426833108,65,0.86084231444719272,45,0.73799869838933407,65,0.88397972819607706,45,0.78191153959423332,65,0.92809110782369364
46,0.71320505866406236,64,0.86032112145731876,46,0.73876624551804093,64,0.88318025255458754,46,0.78263964597938374,64,0.92661742654710189
47,0.71417670334589356,63,0.8597155125191368,47,0.73962279223272442,63,0.88222873961238135,47,0.78337076119914351,63,0.92362783758535527
48,0.715352169756268,62,0.85895255562871431,48,0.74056512933996188,62,0.88050965530237557,48,0.78421421043071926,62,0.91707295404890465
49,0.71680026356955739,61,0.85820717891586606,49,0.74162136990665384,61,0.8770457907120871,49,0.78507544268689688,61,0.90362333360656255
50,0.71861630667063714,60,0.857032966126167,50,0.74278722961291721,60,0.86881032406538128,50,0.78608599634781873,60,0.88392790568925561
51,0.72089546092071533,59,0.85476287292327535,51,0.74423020245074656,59,0.85418681691631326,51,0.78723129818261151,59,0.86264660265169457
52,0.72362852596723581,58,0.84971395850243,52,0.74592277333974444,58,0.8346734298405,52,0.788549687131786,58,0.84467569179867052
53,0.72754288127338762,57,0.83880614202956472,53,0.74804381656619656,57,0.8140834201002799,53,0.79004965916635528,57,0.83104226345889409
54,0.73346364410211051,56,0.82199040927671818,54,0.75057150771294945,56,0.797402001132421,54,0.79192768870683417,56,0.82187302645125082
55,0.74305946413610313,55,0.802685740046187,55,0.75388250840867055,55,0.7854318372709882,55,0.794124912426958,55,0.81570517615139182
56,0.75795483754145121,54,0.78422758746824361,56,0.75879034322162353,54,0.77695882217021528,56,0.79675049220352467,54,0.81176503062025163
57,0.777652236238766,53,0.76933815063170752,57,0.76656019324986391,53,0.77121645567226371,57,0.80040865700604946,53,0.80899793176169288
58,0.79908774662782944,52,0.7590359146070893,58,0.77846399550299206,52,0.767518290033464,58,0.80588237616156588,52,0.80685105201917551
59,0.81707748332211427,51,0.75154599481904671,59,0.79503255632775494,51,0.76479170042710132,59,0.81445287618851514,51,0.80521601150316435
60,0.828186588680031,50,0.74661932138897658,60,0.81543382109468043,50,0.762830773331075,60,0.82742060491362923,50,0.80392190899607885
61,0.83357168770107548,49,0.74310182170445549,61,0.835969449445514,49,0.76125289923246076,61,0.844531462512255,49,0.80289657217746047
62,0.83630661819123109,48,0.74062299264449982,62,0.85241834384267978,48,0.7600109790146643,62,0.86530859367778379,48,0.80201141085992533
63,0.83807448774436388,47,0.73877414264841557,63,0.86182545813907763,47,0.75902695050857394,63,0.8863523370983678,47,0.80121807214560581
64,0.83945887192118462,46,0.7373458046108331,64,0.86616794051100632,46,0.75819738410849125,64,0.90200417101934538,46,0.8005184947649886
65,0.84073695583740515,45,0.73623232659931326,65,0.86852831644846673,45,0.75740336964099864,65,0.91033862661774134,45,0.7998257695960318
66,0.84188644411620039,44,0.73535981701561026,66,0.8700693982673352,44,0.756687285334656,66,0.91436270894083971,44,0.79917813978706731
67,0.84306082002928,43,0.73459071093811645,67,0.871467013244854,43,0.75596593412762325,67,0.91647805459621823,43,0.79856581027804929
68,0.844142026626837,42,0.73389590484871325,68,0.87270290331509726,42,0.75525543219509661,68,0.91796503457169421,42,0.79795015786905876
69,0.84513923719964668,41,0.73319745907581435,69,0.87379947949323411,41,0.75453996320428685,69,0.91907888692511552,41,0.7972971194068712
70,0.84618038400322082,40,0.73250554154503644,70,0.87480579474407494,40,0.75379416475964856,70,0.92003945440953927,40,0.79664508934214862
71,0.8472915658778889,39,0.73182633359792981,71,0.8757842921791873,39,0.75303538811665338,71,0.92089050846495879,39,0.795982984212204
72,0.848342191273541,38,0.7311416432647877,72,0.87669518225231935,38,0.7522269201928985,72,0.92198235115843308,38,0.79534738498210189
73,0.8493384472226877,37,0.730408724205234,73,0.87760155807081908,37,0.75143519455329733,73,0.92297229096337585,37,0.79475339228446118
74,0.85023476697437794,36,0.72964061648081657,74,0.87846439041786017,36,0.750658346890713,74,0.92385419006503988,36,0.79416837536387075
75,0.85115935936300846,35,0.728918449796232,75,0.87932493121721866,35,0.74998096159499317,75,0.92474329778564524,35,0.79362063795128523
76,0.85220040586773627,34,0.72816846289172066,76,0.88020783712485506,34,0.74929880414102823,76,0.92546651265099411,34,0.79305873076998035
77,0.85328978841813452,33,0.72748323531405445,77,0.88113139785925521,33,0.74867120132255527,77,0.92607567520673251,33,0.79253827672373967
78,0.85425451210273451,32,0.72679281701989884,78,0.88203014308051808,32,0.74800524481474417,78,0.92698147571629563,32,0.79198434029282194
79,0.85517436110287648,31,0.72614614356997165,79,0.88296609530211556,31,0.74738113588133781,79,0.9279234153388366,31,0.79143645986319666
80,0.8561435047851127,30,0.72549185306478592,80,0.88382031111384174,30,0.74674741526406507,80,0.928774593810722,30,0.79089397486057256
81,0.857182951986673,29,0.72486231248166266,81,0.88450852359827525,29,0.746124735114906,81,0.92965153450747462,29,0.79034011591525866
82,0.85824151323178288,28,0.72419274291263624,82,0.88508725540916988,28,0.74547206187147208,82,0.93047893671403714,28,0.78976638575953906
83,0.85944801898141621,27,0.72357534947897673,83,0.88568059799247578,27,0.74487492325248994,83,0.93130653265455587,27,0.7891645709638202
84,0.860712689804869,26,0.72294662148199207,84,0.88622820069116071,26,0.74427155159073521,84,0.93212263460010425,26,0.7885883320209286
84.699996948242188,0.861641594393185,25.299999237060547,0.72248014414063555,84.699996948242188,0.88658044930462532,25.299999237060547,0.7438037173003631,84.699996948242188,0.93268005084465178,25.299999237060547,0.788159060998263
